Id,SalePrice
1461,127163.62
1462,164330.61
1463,199661.72
1464,200748.5
1465,188572.56
1466,171841.84
1467,179883.62
1468,167746.52
1469,185743.4
1470,128397.95
1471,192406.88
1472,96695.73
1473,99984.76
1474,149732.97
1475,110167.58
1476,383741.5
1477,247420.83
1478,286867.47
1479,260914.64
1480,447080.06
1481,328987.25
1482,207122.94
1483,181681.14
1484,163940.53
1485,169743.62
1486,195998.86
1487,350654.0
1488,224283.39
1489,204236.22
1490,241232.44
1491,188966.47
1492,87530.51
1493,180060.58
1494,294512.34
1495,286664.56
1496,252208.16
1497,192035.47
1498,162628.27
1499,155298.78
1500,157945.06
1501,177740.78
1502,132204.44
1503,311197.34
1504,233367.38
1505,223422.62
1506,181046.53
1507,262842.44
1508,202732.47
1509,160051.38
1510,148899.94
1511,146798.48
1512,163601.14
1513,149384.67
1514,154426.38
1515,204248.48
1516,148179.17
1517,161393.61
1518,125469.29
1519,229047.3
1520,136075.62
1521,138366.89
1522,168748.72
1523,117316.8
1524,124215.95
1525,125076.234
1526,113801.8
1527,98756.11
1528,128057.87
1529,151620.56
1530,174894.39
1531,98693.875
1532,87905.03
1533,144070.25
1534,117439.82
1535,162508.12
1536,107368.77
1537,83763.05
1538,149555.3
1539,183494.88
1540,93409.35
1541,148715.88
1542,138827.66
1543,219970.52
1544,73156.35
1545,104194.16
1546,128038.57
1547,131988.39
1548,132367.81
1549,110807.695
1550,140438.67
1551,107191.77
1552,140479.67
1553,154042.03
1554,113922.23
1555,168738.58
1556,80978.586
1557,122990.86
1558,87806.24
1559,84487.59
1560,132981.73
1561,149902.0
1562,127722.21
1563,122360.96
1564,164101.64
1565,150897.42
1566,223434.98
1567,72357.85
1568,225012.45
1569,147318.67
1570,135926.98
1571,113221.67
1572,139789.4
1573,244376.02
1574,117289.836
1575,224703.44
1576,258649.5
1577,190996.77
1578,137596.17
1579,148869.83
1580,186570.7
1581,142475.7
1582,129580.36
1583,323837.66
1584,230088.77
1585,142279.64
1586,69305.21
1587,101098.164
1588,143982.06
1589,103660.33
1590,134572.39
1591,97687.69
1592,113827.85
1593,122013.83
1594,134016.67
1595,141463.11
1596,246456.92
1597,180856.19
1598,193244.5
1599,155394.78
1600,158060.48
1601,78001.7
1602,119353.086
1603,68524.82
1604,268621.0
1605,231284.9
1606,167030.72
1607,155512.64
1608,220747.44
1609,185514.14
1610,160948.64
1611,141046.17
1612,170466.66
1613,174766.84
1614,116891.08
1615,84436.52
1616,69946.11
1617,90755.69
1618,132101.6
1619,140997.36
1620,178296.44
1621,146927.06
1622,140627.11
1623,264409.75
1624,213789.5
